Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
Managed Fund / Winton Capital Management Fund - HU,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/Winton%20Capital%20Management%20Fund,No,,,,,,,,,,,,,LYWCHUM JY EQUITY,"USD Acc , USD Acc , EUR Acc  ",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure",(Lyxor),,,,
Hedge Funds - Multi-Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
"Antarctica Alpha Access Portfolio SPC Ltd - MLS Fund Segregated Portfolio (""AAAP - MLS Fund"") (Class B)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Antartica%20Alpha%20Access%20Portfolio%20SPC%20Ltd/MLS%20Fund,No,USD,31-Jul-2019,,0.68 ,N/A,4.43 ,N/A,5.46 ,N/A,N/A,1/7/2017,VGG0395J4019,N/A,USD Acc  ,Yes,No,5,0%,Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,2.00%,Capital Appreciation,N/A,> 10 years,"Monthly, but not available for subscription",Quarterly,No,Yes,"Monthly subscription & Quarterly redemption, up to 25% of shareholder may be redeemed in any quarter, refer to intranet for subscription  redemption procedure",(Not available for subscription),,,,
Managed Fund / AQR Systematic Total Return Fund Ltd - HU (Lyxor),http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/AQR%20Systematic%20Total%20Return%20Fund%20Ltd,Yes,,,,,,,,,,,,,LYAQRHU JY EQUITY,"USD Acc , USD Acc , EUR Acc  (H) , GBP Acc  (H)",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure", ,,,,
Nineteen77 Global Multi Strategic Apha,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/O%20Connor,Yes,USD,31-Jul-2019,,0.96 ,N/A,6.02 ,6.70 ,2.89 ,1.99 ,4.23 ,1/6/2000,XD0308579479,N/A,"USD Acc  (H) , EUR Acc  (H) , CHF Acc  (H) , SGD Acc  (H)",Yes,No,5,20%,Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,3.00%,Capital Appreciation,N/A,> 10 years,Monthly,Quarterly (notice by last business day of the first month of the quarter),No,Yes,"Monthly subscription & Quarterly redemption, refer to intranet for subscription  redemption procedure",(Source: UBS. BOS can only subscribe into the FIM3 share class),,,,
Hedge Funds - Equity Long / Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Managed Fund / Marshall Wace TOPS Fund - HE,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/Marshall%20Wace%20Tops%20Fund%20Limited,No,,,,,,,,,,,,,LYXMWHE JY EQUITY,"EUR Acc  (H) , USD Acc , USD Acc  ",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure",(Lyxor),,,,
Managed Fund / Sandler Plus Offshore Fund - HU,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lyxor/Sandler%20Plus%20Offshore%20Fund%20Limited,No,,,,,,,,,,,,,LYXSPHU JY EQUITY,"USD Acc , EUR Acc  ",Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Capital Appreciation,N/A,> 10 years,Weekly,Weekly,No,Yes,"Weekly Liquidity, refer to intranet for subscription  redemption procedure",(Lyxor),,,,
Neuberger Berman US Long Short Equity USD A Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BJTD4V19,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Neuberger%20Berman/US%20Long%20Short%20Equity,No,USD,06-Nov-2019,11.74 ,0.77 ,1.65 ,12.78 ,4.54 ,5.56 ,2.71 ,6.40 ,4/3/2014,IE00BJTD4V19,NBULSUA ID EQUITY,"USD Acc , SGD Acc  (H)",Yes,No,5,50%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,, ,,,,
"Antarctica Alpha Access Portfolio SPC Ltd - FHE Fund Segregated Portfolio (""AAAP - FHE Fund"") (Class B)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Antartica%20Alpha%20Access%20Portfolio%20SPC%20Ltd/FHE%20Fund,No,USD,31-Jul-2019,,(0.88),N/A,(2.75),N/A,9.59 ,N/A,N/A,N/A,VGG039475311,NA,USD Acc,No,No,5,15%,Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,2.00%,Capital Appreciation,N/A,> 10 years,"Monthly, with 5 biz day notice","Monthly, with 35 calendar days notice",No,Yes,,,,,,
Hedge Funds - Event Driven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
"Antarctica Alpha Access Portfolio SPC Ltd - TPO Fund Segregated Portfolio (""AAAP - TPO Fund"") (Class B)",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Antartica%20Alpha%20Access%20Portfolio%20SPC%20Ltd/TPO%20Fund,No,USD,31-Jul-2019,,2.30 ,N/A,14.82 ,N/A,5.61 ,N/A,N/A,9/1/2014,VGG039474082,N/A,USD Acc  ,No,No,5,30% (effective Jun 2018),Yes,Restricted,SFC Unauthorized,Yes,"Yes, if Suitable",No,2.00%,Capital Appreciation,N/A,> 10 years,Monthly,"Quarterly redemption, 5% redemption fee if redeemed within first 12 months from subscription date",No,Yes,"Monthly subscription & Quarterly redemption, 5% redemption fee if redeemed within first 12 months from subscription date. Up to 20% of shareholder may be redeemed in any quarter. Refer to intranet for subscription  redemption procedure", ,,,,
Man GLG Event Driven Alternative,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BKDV7752,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Antartica%20Alpha%20Access%20Portfolio%20SPC%20Ltd/TPO%20Fund,No,USD,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30/7/2019,IE00BKDV7752,N/A,"USD Acc , EUR Acc (H)",Yes,No,5,45%,Yes,Restricted,SFC Unauthorized,Yes,Yes,No,Yes,Capital Appreciation,N/A,> 10 years,Daily,Daily,No,Yes,"Daily Liquidity
(IE00BKDV7752 refers to founder share classes with lower management fees)", ,,,,
Hedge Funds - Insurance Linked Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
AXA IM WAVe Cat Bonds USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BZCPN752,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/AXA/AXA%20IM%20WAVe%20-%20Cat%20Bonds%20Fund,No,USD,25-Oct-2019,1053.14 ,0.42 ,2.69 ,3.46 ,2.65 ,N/A,N/A,N/A,1/20/2017,IE00BZCPN752,AXCBF1A ID EQUITY,"USD Acc , USD Dis  (Qter) , EUR Acc  (H) , EUR Dis  (Qter) (H) , CHF Acc  (H)",No,No,5,45%,Yes,Restricted,SFC Unauthorized,No,Yes,Yes,3.00%,Capital Appreciation,N/A,> 10 years,Bi-monthly (first Friday of each month & third Friday of each month),Bi-monthly (first Friday of each month & third Friday of each month),No,Yes,Fortnightly liquidity, ,,,,
Hedge Funds - Fund of Hedge Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Bespoke Opportunistic Solutions Ltd (Class B),http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackstone%20Bespoke%20Opportunistic%20Solutions%20Ltd,No,USD,31-Jul-2019,,0.63 ,N/A,4.68 ,N/A,N/A,N/A,N/A,4/1/2017,N/A,N/A,USD Acc  ,Yes,No,5,35%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,2.00%,Capital Appreciation,N/A,> 10 years,TBC,6 months rolling hard lock-up period. Redemptions are available on the last day of any calendar quarter with no less than 95 days� prior notice.,No,Yes,6 months rolling hard lock-up period. Redemptions are available on the last day of any calendar quarter with no less than 95 days� prior notice. Refer to intranet for subscription form., ,,,,
Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invesco Global Real Estate Fund Strategy,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Invesco/Invesco%20Global%20Real%20Estate%20Fund%20Strategy,No,USD,06-Nov-2019,102.31 ,(0.58),0.80 ,N/A,N/A,N/A,N/A,N/A,2/11/2019,LU1919884343,INGRRIU LX EQUITY,"USD Acc , USD Dis  (Qter) , EUR Acc  (H) , EUR Dis  (Qter) (H) , CHF Acc  (H),  GBP Acc  (H) , GBP Dis  (Qter) (H) , AUD Acc  (H) , AUD Dis  (Qter) (H) , SGD Acc  (H) , SGD Dis  (Qter) (H)",No,No,5,40%,Yes ,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,5.00%,Capital Appreciation,N/A,> 10 years,Daily with 2 day biz notice required,Daily with 2 day biz notice required,No,Yes,"Each business day is a subscription/ redemption day. Cut off is 2 day biz notice prior to the subscription/ redemption day. If application for redemptions represent in aggregate (i) more than 5% of the NAV on a redemption day or (ii) more than 15% of the NAV in any rolling 90 days period, Invesco may decide that part (on a pro rata basis) or all of such requests for redemption or conversion will be deferred to the next or subsequent Redemption Days or Conversion Days until the application is processed in full. ",(Refer to intranet for indemnity form),,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
